Country,Year,PM2.5,PM10,NO2,Depression (%),Anxiety disorders (%),PM2.5/NO2 Ratio,Pollution Category,Depression Change (%),Anxiety Change (%)
Albania,2015,21.79,25.4675,18.585,2.204454,3.388212,1.1724509012644604,Medium,,
Albania,2016,21.48,29.16,21.186666666666667,2.206507,3.386891,1.013845185651353,Medium,0.0020530000000000825,-0.0013209999999999056
Australia,2012,14.45,17.790000000000003,7.965,4.79008,6.614107,1.8141870684243564,Medium,,
Australia,2013,9.94,18.134090909090908,12.176,4.759686,6.608198,0.8163600525624178,Low,-0.030393999999999366,-0.005908999999999942
Australia,2014,7.48590909090909,17.728125,11.102857142857143,4.731142,6.602041,0.6742326767416834,Low,-0.028544000000000125,-0.006156999999999968
Australia,2015,7.1545000000000005,17.9115625,8.89,4.696774,6.595691,0.8047806524184477,Low,-0.03436800000000062,-0.006349999999999412
Australia,2016,6.845238095238095,16.717,10.22153846153846,4.659817,6.589757,0.6696876523035464,Low,-0.03695699999999924,-0.005934000000000772
Australia,2017,7.28,16.844,7.899999999999999,4.623881,6.584301,0.9215189873417724,Low,-0.03593600000000041,-0.005455999999999683
Austria,2010,18.35727272727273,23.107884615384613,22.09836363636364,3.290207,5.352376,0.8307073333278482,Medium,,
Austria,2013,15.902173913043478,20.749895833333333,21.08065420560748,3.273578,5.34969,0.7543491657300407,Medium,-0.016629000000000005,-0.002685999999999744
Austria,2014,13.111,18.08742268041237,19.42185185185185,3.26746,5.347641,0.6750643604950515,Medium,-0.00611800000000029,-0.0020489999999995234
Austria,2015,13.707083333333332,19.37056179775281,20.365471698113204,3.264032,5.344587,0.673055038278502,Medium,-0.0034279999999999866,-0.0030540000000005563
Austria,2016,12.143714285714289,16.858383838383837,19.05275229357798,3.262611,5.342175,0.6373732308380198,Medium,-0.0014209999999996725,-0.0024119999999996367
Austria,2017,12.575135135135136,17.264200000000002,19.14101851851852,3.26097,5.341275,0.6569731450272077,Medium,-0.0016410000000002256,-0.0008999999999996788
Bangladesh,2013,76.2475,129.3475,28.58,4.199103,4.264447,2.667862141357593,High,,
Bangladesh,2014,75.16125,143.5125,37.39571428571429,4.182413,4.269459,2.0098894067310993,High,-0.01668999999999965,0.005012000000000683
Bangladesh,2015,74.25874999999999,129.00714285714284,40.137142857142855,4.160873,4.2744,1.8501254626993164,High,-0.02154000000000078,0.00494099999999964
Bangladesh,2017,50.25111111111111,126.70444444444443,32.16,4.110611,4.283989,1.562534549474848,High,-0.05026200000000003,0.00958900000000007
Belgium,2010,16.721818181818183,26.09878048780488,25.02320754716981,4.101865,5.205143,0.6682523873207239,Medium,,
Belgium,2013,14.81,23.496086956521737,23.98033898305085,4.110062,5.20626,0.6175892680444431,Medium,0.00819700000000001,0.0011170000000007008
Belgium,2014,12.1753125,20.555833333333336,21.754666666666665,4.110472,5.207286,0.5596644015077226,Medium,0.00040999999999957737,0.0010259999999995273
Belgium,2015,12.627708333333333,20.524375,21.017868852459014,4.110452,5.208646,0.6008082180918137,Medium,-1.9999999999242846e-05,0.0013600000000000279
Belgium,2016,12.4475,19.793541666666663,21.65576271186441,4.109551,5.210451,0.5747892681323326,Medium,-0.0009010000000007068,0.0018050000000000566
Belgium,2017,12.10891304347826,19.56127659574468,21.63293103448276,4.109186,5.212645,0.5597444481368118,Medium,-0.0003649999999995046,0.0021940000000002513
Bosnia and Herzegovina,2010,64.77,49.61,25.79,2.353722,3.399698,2.51143854207057,High,,
Bosnia and Herzegovina,2016,43.20333333333334,42.86000000000001,18.385714285714283,2.319066,3.402155,2.3498316498316507,High,-0.03465600000000002,0.0024570000000001535
Bosnia and Herzegovina,2017,48.9875,40.00714285714286,23.255,2.31961,3.402636,2.106536228768007,High,0.0005440000000001,0.00048100000000017573
Brazil,2010,16.776666666666667,35.28666666666667,24.54642857142857,3.497159,6.391711,0.6834667054658325,Medium,,
Brazil,2011,15.646,36.951034482758615,24.561714285714285,3.449547,6.377567,0.6370076541888654,Medium,-0.04761199999999999,-0.014143999999999934
Brazil,2012,15.307999999999998,35.69578125,25.07428571428571,3.408068,6.350157,0.6105059252506837,Medium,-0.04147899999999982,-0.027409999999999712
Brazil,2013,14.16,35.051803278688524,23.110243902439024,3.371926,6.3111,0.6127152988855117,Medium,-0.036141999999999896,-0.039057000000000563
Brazil,2014,15.958823529411765,34.316567164179105,22.005641025641022,3.342011,6.261913,0.7252151169246335,Medium,-0.029915000000000358,-0.04918699999999987
Brazil,2015,13.257692307692308,31.77053571428572,21.569714285714287,3.319423,6.204158,0.6146438535105184,Medium,-0.02258799999999983,-0.05775500000000022
Brazil,2016,15.6,31.21969696969697,22.977083333333336,3.304643,6.139401,0.6789373469942876,Medium,-0.014780000000000015,-0.06475699999999929
Bulgaria,2010,23.8475,44.917142857142856,21.511764705882356,2.551664,3.589877,1.1085794366967459,Medium,,
Bulgaria,2013,19.955714285714286,39.93407407407408,18.21294117647059,2.540351,3.586925,1.095688724427178,Medium,-0.01131300000000035,-0.0029520000000000657
Bulgaria,2014,21.735714285714288,41.48518518518518,18.599285714285717,2.539345,3.587034,1.168631667882791,Medium,-0.0010059999999998404,0.00010900000000013677
Bulgaria,2015,23.966,37.89333333333333,18.27625,2.539862,3.587231,1.3113193352027905,Medium,0.0005169999999998787,0.00019700000000000273
Bulgaria,2016,19.228,35.322,20.17,2.53995,3.587363,0.9532969757064947,Medium,8.800000000031005e-05,0.00013199999999979894
Bulgaria,2017,19.56571428571429,33.94724137931035,18.365882352941178,2.543141,3.587521,1.0653293922783387,Medium,0.003190999999999722,0.00015800000000032455
Canada,2015,6.889133333333333,13.1776,11.560185185185183,3.949642,5.170797,0.5959362434921907,Low,,
Canada,2016,5.857341772151899,12.0732,10.903893129770992,3.967491,5.174359,0.5371789417267443,Low,0.017849000000000004,0.003561999999999621
Canada,2017,6.78319018404908,15.0915,11.219626865671644,3.988792,5.178218,0.6045825110996698,Low,0.021301000000000236,0.003859000000000279
Chile,2010,25.83818181818182,63.805,21.29636363636364,4.019166,6.273744,1.2132673098266882,Medium,,
Chile,2011,26.223636363636363,69.335,21.66,4.019435,6.274701,1.2106941996138672,Medium,0.0002689999999994086,0.0009570000000005408
Chile,2013,30.403684210526315,62.01333333333333,1.01,4.024264,6.275241,30.10265763418447,Medium,0.004828999999999972,0.0005399999999999849
Chile,2014,26.340625,52.635,5.5200000000000005,4.02991,6.274801,4.771852355072463,Medium,0.005646000000000484,-0.000440000000000218
Chile,2015,25.609736842105264,54.38351351351351,7.003333333333333,4.036576,6.274265,3.656792504822265,Medium,0.006666000000000061,-0.000536000000000314
Chile,2016,25.91081081081081,50.64117647058824,10.122,4.046124,6.273138,2.5598509000998626,Medium,0.009547999999999668,-0.001126999999999434
China,2013,75.35,152.0,52.0,3.38155,3.10498,1.4490384615384615,High,,
China,2014,52.3424882629108,126.0,42.56037735849056,3.367462,3.087059,1.2298407935161026,High,-0.014087999999999656,-0.017920999999999854
China,2015,49.48566972477064,102.77777777777776,35.650485436893206,3.351279,3.068531,1.388078426375647,High,-0.01618300000000028,-0.018527999999999878
China,2016,45.62125454545454,85.35583333333334,34.18408,3.332592,3.049823,1.3345760525207797,High,-0.018686999999999898,-0.01870800000000017
Colombia,2010,32.33,50.833333333333336,32.443333333333335,2.228705,2.528589,0.9965067296825233,Medium,,
Colombia,2011,22.5,40.71111111111111,26.55,2.219333,2.523272,0.847457627118644,Medium,-0.00937200000000038,-0.005317000000000238
Colombia,2012,24.83333333333333,44.94,23.0,2.210586,2.518935,1.079710144927536,Medium,-0.008746999999999616,-0.004337000000000035
Colombia,2013,22.35,41.238,24.3,2.204213,2.515703,0.9197530864197531,Medium,-0.006372999999999962,-0.0032320000000001237
Colombia,2014,20.882857142857144,41.227222222222224,25.97,2.198192,2.513603,0.8041146377688543,Medium,-0.006021000000000054,-0.0020999999999999908
Colombia,2015,27.3375,46.405,26.275,2.194632,2.512714,1.0404376784015223,Medium,-0.0035600000000002296,-0.0008889999999999176
Colombia,2016,16.655,41.36,13.1,2.194091,2.513075,1.2713740458015268,Medium,-0.0005410000000001247,0.00036100000000027777
Croatia,2013,23.005,31.18,20.2425,2.782145,3.455337,1.1364702976411016,Medium,,
Croatia,2014,20.036666666666665,26.632857142857144,18.67,2.78089,3.453567,1.073201214068916,Medium,-0.0012550000000000061,-0.0017700000000000493
Croatia,2015,15.60625,24.855454545454545,19.794285714285717,2.778406,3.451754,0.7884219832563509,Medium,-0.0024839999999999307,-0.0018129999999998425
Croatia,2016,17.274444444444445,25.402,18.61777777777778,2.778055,3.449816,0.9278467414657436,Medium,-0.00035099999999976816,-0.0019379999999999953
Croatia,2017,15.549,23.02,19.727777777777774,2.779842,3.447606,0.7881779780343566,Medium,0.001786999999999761,-0.0022100000000002673
Cyprus,2010,20.048,45.26666666666667,18.31,3.27735,5.305848,1.0949208083014745,Medium,,
Cyprus,2013,15.957999999999998,36.92,16.465,3.286091,5.305846,0.9692074096568478,Medium,0.008740999999999666,-2.000000000279556e-06
Cyprus,2014,16.201999999999998,33.656666666666666,16.38,3.293437,5.305683,0.9891330891330891,Medium,0.007346000000000075,-0.00016299999999969117
