Country,Year,PM2.5,PM10,NO2,Depression (%),Anxiety disorders (%)
Albania,2015,21.79,25.4675,18.585,2.204454,3.388212
Albania,2016,21.48,29.16,21.186666666666667,2.206507,3.386891
Australia,2012,14.45,17.790000000000003,7.965,4.79008,6.614107
Australia,2013,9.940000000000001,18.134090909090908,12.176,4.759686,6.608198
Australia,2014,7.48590909090909,17.728125,11.102857142857143,4.731142,6.602041
Australia,2015,7.1545000000000005,17.9115625,8.89,4.696774,6.595691
Australia,2016,6.845238095238095,16.717,10.221538461538461,4.659817,6.589757
Australia,2017,7.28,16.844,7.8999999999999995,4.623881,6.584301
Austria,2010,18.35727272727273,23.107884615384613,22.098363636363636,3.290207,5.352376
Austria,2013,15.902173913043478,20.749895833333333,21.080654205607477,3.273578,5.34969
Austria,2014,13.110999999999999,18.08742268041237,19.42185185185185,3.26746,5.347641
Austria,2015,13.707083333333332,19.37056179775281,20.365471698113204,3.264032,5.344587
Austria,2016,12.143714285714287,16.858383838383837,19.05275229357798,3.262611,5.342175
Austria,2017,12.575135135135136,17.264200000000002,19.141018518518518,3.26097,5.341275
Bangladesh,2013,76.2475,129.3475,28.580000000000002,4.199103,4.264447
Bangladesh,2014,75.16125,143.5125,37.395714285714284,4.182413,4.269459
Bangladesh,2015,74.25874999999999,129.00714285714284,40.137142857142855,4.160873,4.2744
Bangladesh,2017,50.25111111111111,126.70444444444443,32.16,4.110611,4.283989
Belgium,2010,16.721818181818183,26.098780487804877,25.02320754716981,4.101865,5.205143
Belgium,2013,14.81,23.496086956521737,23.980338983050846,4.110062,5.20626
Belgium,2014,12.1753125,20.555833333333336,21.754666666666665,4.110472,5.207286
Belgium,2015,12.627708333333333,20.524375,21.017868852459014,4.110452,5.208646
Belgium,2016,12.4475,19.793541666666666,21.65576271186441,4.109551,5.210451
Belgium,2017,12.10891304347826,19.56127659574468,21.63293103448276,4.109186,5.212645
Bosnia and Herzegovina,2010,64.77,49.61,25.79,2.353722,3.399698
Bosnia and Herzegovina,2016,43.20333333333334,42.86000000000001,18.385714285714283,2.319066,3.402155
Bosnia and Herzegovina,2017,48.9875,40.00714285714286,23.255,2.31961,3.402636
Brazil,2010,16.776666666666667,35.28666666666667,24.54642857142857,3.497159,6.391711
Brazil,2011,15.646,36.951034482758615,24.561714285714285,3.449547,6.377567
Brazil,2012,15.307999999999998,35.69578125,25.07428571428571,3.408068,6.350157
Brazil,2013,14.16,35.051803278688524,23.110243902439024,3.371926,6.3111
Brazil,2014,15.958823529411765,34.316567164179105,22.005641025641026,3.342011,6.261913
Brazil,2015,13.257692307692308,31.770535714285717,21.569714285714287,3.319423,6.204158
Brazil,2016,15.6,31.21969696969697,22.977083333333336,3.304643,6.139401
Bulgaria,2010,23.8475,44.917142857142856,21.511764705882353,2.551664,3.589877
Bulgaria,2013,19.955714285714286,39.934074074074076,18.21294117647059,2.540351,3.586925
Bulgaria,2014,21.735714285714288,41.48518518518518,18.599285714285713,2.539345,3.587034
Bulgaria,2015,23.966,37.89333333333333,18.27625,2.539862,3.587231
Bulgaria,2016,19.228,35.321999999999996,20.17,2.53995,3.587363
Bulgaria,2017,19.565714285714286,33.94724137931035,18.365882352941178,2.543141,3.587521
Canada,2015,6.889133333333333,13.1776,11.560185185185185,3.949642,5.170797
Canada,2016,5.857341772151899,12.0732,10.903893129770992,3.967491,5.174359
Canada,2017,6.78319018404908,15.0915,11.219626865671643,3.988792,5.178218
Chile,2010,25.83818181818182,63.805,21.296363636363637,4.019166,6.273744
Chile,2011,26.223636363636363,69.335,21.66,4.019435,6.274701
Chile,2013,30.403684210526315,62.01333333333333,1.01,4.024264,6.275241
Chile,2014,26.340625,52.635,5.5200000000000005,4.02991,6.274801
Chile,2015,25.609736842105264,54.38351351351351,7.003333333333333,4.036576,6.274265
Chile,2016,25.910810810810812,50.641176470588235,10.122,4.046124,6.273138
China,2013,75.35,152.0,52.0,3.38155,3.10498
China,2014,52.3424882629108,126.0,42.56037735849056,3.367462,3.087059
China,2015,49.48566972477064,102.77777777777777,35.650485436893206,3.351279,3.068531
China,2016,45.62125454545454,85.35583333333334,34.18408,3.332592,3.049823
Colombia,2010,32.33,50.833333333333336,32.443333333333335,2.228705,2.528589
Colombia,2011,22.5,40.71111111111111,26.55,2.219333,2.523272
Colombia,2012,24.833333333333332,44.94,23.0,2.210586,2.518935
Colombia,2013,22.35,41.238,24.3,2.204213,2.515703
Colombia,2014,20.882857142857144,41.227222222222224,25.97,2.198192,2.513603
Colombia,2015,27.3375,46.405,26.275,2.194632,2.512714
Colombia,2016,16.655,41.36,13.1,2.194091,2.513075
Croatia,2013,23.005,31.18,20.2425,2.782145,3.455337
Croatia,2014,20.036666666666665,26.632857142857144,18.669999999999998,2.78089,3.453567
Croatia,2015,15.60625,24.855454545454542,19.794285714285714,2.778406,3.451754
Croatia,2016,17.274444444444445,25.401999999999997,18.61777777777778,2.778055,3.449816
Croatia,2017,15.549000000000001,23.02,19.727777777777778,2.779842,3.447606
Cyprus,2010,20.048,45.26666666666667,18.310000000000002,3.27735,5.305848
Cyprus,2013,15.957999999999998,36.919999999999995,16.465,3.286091,5.305846
Cyprus,2014,16.201999999999998,33.656666666666666,16.38,3.293437,5.305683
Cyprus,2015,15.953999999999999,34.403333333333336,16.96,3.302054,5.305575
Cyprus,2016,11.506666666666668,29.275,16.223333333333333,3.314551,5.305325
Cyprus,2017,13.724,26.865000000000002,15.033333333333331,3.328111,5.304908
Denmark,2010,15.086666666666666,21.5475,25.330000000000002,3.277504,5.317616
Denmark,2013,11.0625,21.735,18.13714285714286,3.275889,5.317042
Denmark,2014,13.26,22.186,18.00166666666667,3.277973,5.316366
Denmark,2015,11.256666666666666,20.655,12.541250000000002,3.281306,5.315579
Denmark,2016,10.29,18.73,12.783333333333335,3.285642,5.314948
Denmark,2017,9.406,17.985,11.954444444444444,3.291885,5.314635
Ecuador,2010,19.27,39.864999999999995,20.54,2.959062,4.29317
Ecuador,2011,17.82,34.08,18.53,2.960197,4.295131
Ecuador,2012,18.43,36.42666666666667,19.63,2.961697,4.296969
Ecuador,2013,18.45,34.25,21.435000000000002,2.965013,4.298674
Ecuador,2014,17.32,46.445,22.895,2.967176,4.300375
Ecuador,2015,17.27,38.725,22.42,2.970413,4.302069
Ecuador,2016,14.07,40.75,20.740000000000002,2.973805,4.303726
Ecuador,2017,14.015,43.375,19.395,2.977117,4.305357
Estonia,2010,7.726666666666667,15.77,8.52142857142857,4.013452,2.968607
Estonia,2013,6.645714285714286,13.842000000000002,8.643333333333333,3.926684,2.966459
Estonia,2014,7.508571428571429,14.342000000000002,7.215714285714285,3.902099,2.965608
Estonia,2015,6.362,12.335,6.217142857142858,3.880068,2.964644
Estonia,2016,5.204285714285715,11.41,6.435714285714285,3.861329,2.963537
Estonia,2017,4.55,10.386000000000001,5.514285714285714,3.848854,2.962244
Finland,2010,8.529166666666667,14.886400000000002,16.764444444444443,4.981612,3.748035
Finland,2013,6.407692307692307,13.143461538461539,14.304736842105264,4.916404,3.748436
Finland,2014,7.609285714285714,14.601923076923075,14.647142857142859,4.888971,3.749012
Finland,2015,5.699285714285714,12.48,13.350952380952382,4.857565,3.749912
Finland,2016,5.727142857142858,11.933846153846153,13.053,4.825886,3.750722
Finland,2017,4.5128571428571425,10.542962962962964,12.305,4.792736,3.752062
France,2010,17.74651515151515,24.381048689138577,23.065714285714286,4.352983,6.663107
France,2014,9.02,27.13,10.526,4.316753,6.643231
France,2015,12.745564516129033,20.04169014084507,20.161634615384617,4.299326,6.637445
France,2016,11.573565217391305,18.146554307116105,19.086414473684208,4.278159,6.632055
France,2017,10.9672,18.241818181818182,18.812983050847457,4.253807,6.62671
Germany,2010,17.34602409638554,22.574647887323945,25.707684210526313,3.927668,6.582874
Germany,2013,14.110733944954127,19.76259067357513,29.82421052631579,3.934021,6.580384
